product_tier,make_name,price,first_zip_digit,search_views,detail_views,stock_days,ctr,live_days,first_registration_age
Basic,Land Rover,94950,8,1192.0,30.0,26,0.025167785234899327,85,7
Basic,Toyota,11950,2,182.0,3.0,57,0.016483516483516484,205,7
Basic,Toyota,20950,6,300.0,12.0,28,0.04,28,7
Basic,Volvo,21450,5,7608.0,240.0,40,0.031545741324921134,128,7
Basic,Audi,22450,7,4346.0,103.0,60,0.023699953980671883,325,12
Basic,Opel,8950,9,902.0,12.0,31,0.013303769401330377,1,9
Basic,Caravans-Wohnm,59950,7,54.0,2.0,53,0.037037037037037035,82,9
Basic,Renault,9745,2,1913.0,30.0,46,0.014898065865133297,135,9
Basic,Renault,650,2,3841.0,99.0,74,0.02577453788076022,74,21
Basic,Audi,16900,3,1380.0,67.0,18,0.0461231884057971,135,15
Basic,Fiat,950,3,16740.0,930.0,59,0.05555555555555555,59,21
Basic,Opel,11950,1,2979.0,109.0,64,0.036589459550184625,446,13
Basic,Volkswagen,19800,1,7323.0,500.0,65,0.06827802813054759,65,9
Basic,Hyundai,4450,4,156.0,13.0,1,0.07916666666666666,2,15
Basic,Renault,12950,4,83.0,2.0,32,0.024096385542168676,62,8
Basic,Audi,36850,1,727.0,11.0,80,0.015130674002751032,80,6
Basic,Volkswagen,2750,3,106.0,6.0,0,0.05660377358490566,0,18
Basic,Renault,13250,3,192.0,15.0,7,0.078125,37,7
Basic,Renault,7350,8,1011.0,73.0,48,0.06859545004945598,47,13
Basic,Toyota,7450,2,285.0,19.0,7,0.06666666666666667,8,18
Basic,Toyota,14950,2,2231.0,124.0,90,0.052801434334379206,297,9
Basic,Volkswagen,8250,4,1070.0,30.0,30,0.028037383177570093,29,12
Basic,MINI,3195,2,5.0,0.0,2,0.0,2,22
Basic,Ford,23390,6,463.0,5.0,72,0.01079913606911447,12,6
Basic,Nissan,15700,1,547.0,11.0,24,0.02010968921389397,24,8
Basic,Mercedes-Benz,25999,6,1742.0,66.0,71,0.035993111366245695,71,8
Basic,Mazda,750,2,689.0,21.0,3,0.030478955007256895,122,23
Basic,SEAT,28900,7,1837.0,168.0,119,0.08253674469243331,326,6
Basic,Renault,29969,7,19.0,0.0,9,0.0,9,6
Basic,Ford,4750,3,822.0,30.0,54,0.0364963503649635,54,14
Basic,Volvo,3950,5,160.0,5.0,1,0.0296875,30,16
Basic,Ford,16400,7,1785.0,67.0,53,0.03753501400560224,258,6
Basic,Mercedes-Benz,12900,2,786.0,11.0,17,0.013994910941475827,17,11
Basic,Fiat,3250,1,89.0,1.0,1,0.011235955056179775,30,17
Basic,Toyota,16950,1,3078.0,108.0,35,0.03508771929824561,124,12
Basic,Renault,6450,6,638.0,11.0,66,0.016379310344827584,37,12
Basic,Renault,11749,5,934.0,50.0,38,0.05085653104925054,154,11
Basic,Citroen,27500,6,733.0,21.0,62,0.0286493860845839,62,6
Basic,Volkswagen,7850,8,389.0,25.0,34,0.06426735218508997,34,12
Basic,Honda,4999,7,1452.0,85.0,14,0.05853994490358127,162,15
Basic,Volkswagen,9499,9,1652.0,98.0,35,0.059322033898305086,35,14
Basic,Jaguar,179000,5,3013.0,76.0,42,0.02522402920677066,73,70
Basic,Volkswagen,40940,2,2819.0,89.0,58,0.03157147924796027,263,6
Plus,Volkswagen,9190,5,848.0,10.0,5,0.01179245283018868,122,10
Basic,Mercedes-Benz,9400,5,777.0,22.0,16,0.028314028314028315,16,10
Basic,Opel,2750,4,1212.0,40.0,25,0.03135313531353135,25,17
Basic,Peugeot,6950,4,1575.0,66.0,74,0.0419047619047619,74,16
Basic,Peugeot,999,5,3112.0,145.0,65,0.046593830334190234,124,23
Basic,Opel,13900,2,249.0,21.0,1,0.08012048192771083,1,11
Plus,Honda,4900,7,23235.0,776.0,87,0.03339789111254573,87,17
Basic,Volvo,8500,7,5598.0,117.0,34,0.02090032154340836,34,11
Basic,Ford,19995,2,928.0,23.0,86,0.023545258620689655,86,7
Basic,Daihatsu,3950,1,1190.0,32.0,28,0.02689075630252101,28,17
Premium,BMW,10445,2,4501.0,114.0,23,0.025327704954454567,23,15
Basic,Volkswagen,6945,7,1934.0,102.0,87,0.052740434332988625,87,15
Basic,Volkswagen,4750,7,771.0,38.0,45,0.04928664072632944,104,18
Basic,Peugeot,1950,7,505.0,39.0,18,0.07722772277227723,77,21
Basic,Volkswagen,2500,7,1400.0,12.0,14,0.008571428571428572,132,21
Basic,Hyundai,3950,7,1281.0,24.0,37,0.01873536299765808,184,15
Basic,Mercedes-Benz,28950,6,1966.0,83.0,58,0.0422177009155646,58,7
Basic,Ford,950,9,251.0,9.0,12,0.03406374501992032,100,25
Basic,Volkswagen,19500,5,4521.0,229.0,85,0.050652510506525104,290,7
Premium,Volvo,8950,7,35104.0,738.0,117,0.021023245214220602,174,16
Basic,Volkswagen,14950,1,280.0,12.0,7,0.04285714285714286,7,11
Basic,Volkswagen,12900,5,561.0,23.0,70,0.040998217468805706,71,8
Basic,Opel,9939,7,737.0,64.0,11,0.08683853459972862,159,14
Basic,Mazda,13300,4,3401.0,81.0,44,0.02381652455160247,162,8
Basic,Peugeot,11900,5,769.0,17.0,54,0.022106631989596878,54,7
Plus,Ford,11495,2,3888.0,97.0,34,0.024948559670781894,93,10
Basic,Volkswagen,24940,2,374.0,92.0,10,0.24598930481283424,98,11
Basic,Peugeot,9245,1,163.0,4.0,22,0.024539877300613498,22,8
Basic,Volkswagen,8695,5,2570.0,98.0,57,0.03813229571984436,57,14
Basic,Volvo,2450,7,1352.0,49.0,28,0.036242603550295856,145,22
Basic,Peugeot,8900,1,934.0,12.0,40,0.01284796573875803,40,7
Basic,Fiat,10995,1,334.0,15.0,48,0.04491017964071856,342,9
Basic,Volkswagen,14920,4,3427.0,111.0,107,0.032389845345783486,18,8
Basic,Ford,6945,5,6247.0,154.0,99,0.023419241235793177,188,8
Basic,Mercedes-Benz,16990,1,565.0,43.0,11,0.07610619469026549,70,17
Basic,Opel,7450,4,220.0,6.0,10,0.02727272727272727,10,13
Basic,Alfa Romeo,16950,8,4056.0,304.0,34,0.07495069033530571,34,16
Basic,Opel,12750,8,1225.0,124.0,23,0.09616326530612244,24,8
Plus,Volkswagen,8940,5,2648.0,90.0,9,0.033987915407854986,68,11
Basic,Renault,4395,5,244.0,12.0,9,0.04918032786885246,9,15
Basic,Renault,8200,3,159.0,11.0,1,0.06918238993710692,1,7
Basic,Nissan,13950,1,1387.0,47.0,53,0.033886085075702954,376,13
Basic,Skoda,12720,4,1231.0,57.0,31,0.0463038180341186,31,12
Basic,SEAT,13745,1,290.0,13.0,11,0.04482758620689655,100,9
Basic,Jaguar,65950,4,62.0,0.0,5,0.0,5,6
Basic,Opel,11950,4,268.0,30.0,6,0.11194029850746269,183,12
Basic,Mercedes-Benz,8950,9,870.0,26.0,19,0.029885057471264367,48,16
Basic,Volkswagen,25950,8,657.0,27.0,34,0.0410958904109589,34,6
Basic,Mercedes-Benz,49350,8,347.0,6.0,23,0.01729106628242075,23,6
Basic,Peugeot,33925,2,1241.0,43.0,6,0.03291700241740532,6,6
Basic,Ford,11700,7,280.0,7.0,12,0.025,130,8
Basic,Volvo,8945,4,3242.0,201.0,74,0.058898827884022203,222,16
Premium,Hyundai,3950,7,11061.0,485.0,27,0.04384775336768827,27,22
Basic,Volkswagen,10900,4,2589.0,57.0,76,0.0220162224797219,76,10
Basic,Volkswagen,6900,3,419.0,49.0,5,0.11694510739856802,5,13
Basic,Volkswagen,7750,5,602.0,38.0,34,0.06312292358803986,92,11
Basic,Audi,33900,1,11376.0,456.0,118,0.04008438818565401,204,11
Basic,MINI,16750,1,546.0,17.0,37,0.031135531135531136,126,12
Basic,Citroen,3149,1,1395.0,53.0,36,0.03799283154121864,36,15
Basic,Renault,1950,7,524.0,14.0,6,0.026717557251908396,95,21
Basic,Land Rover,32940,6,14062.0,460.0,107,0.03271227421419428,195,7
Basic,Volkswagen,13900,2,182.0,14.0,19,0.07692307692307693,107,8
Basic,Mercedes-Benz,16900,4,372.0,6.0,40,0.016129032258064516,217,10
Basic,Fiat,5600,3,5376.0,172.0,126,0.031994047619047616,126,15
Basic,Volvo,10950,8,524.0,18.0,11,0.03263358778625954,129,11
Basic,Ford,12300,8,606.0,25.0,20,0.03919141914191419,20,12
Basic,Citroen,9750,3,997.0,70.0,64,0.07021063189568706,64,9
Basic,Volkswagen,11995,7,13822.0,434.0,108,0.03139921863695558,372,18
Basic,Toyota,13445,2,553.0,5.0,20,0.008589511754068717,20,12
Basic,Dacia,4950,8,238.0,18.0,1,0.07563025210084033,1,9
Basic,Chrysler,6950,3,11381.0,479.0,60,0.04208769000966523,61,16
Basic,Fiat,13700,2,50.0,2.0,2,0.04,61,12
Basic,Citroen,16450,2,13.0,2.0,1,0.14615384615384616,30,7
Basic,Volvo,53900,8,4858.0,148.0,69,0.03046521202140799,69,6
Basic,Peugeot,8350,6,569.0,17.0,43,0.02838312829525483,220,14
Basic,Opel,499,5,47.0,5.0,1,0.10638297872340426,0,30
Basic,Ford,20825,2,930.0,32.0,33,0.034408602150537634,33,6
Basic,Opel,14950,1,3092.0,95.0,106,0.03072445019404916,314,8
Basic,Chevrolet,4950,7,1691.0,63.0,55,0.03725606150206978,54,14
Basic,Toyota,13400,3,16.0,4.0,0,0.25,0,13
Basic,Volkswagen,19800,7,55.0,0.0,5,0.0,5,6
Basic,Volvo,41950,1,136.0,11.0,11,0.08088235294117647,10,7
Basic,MINI,19999,9,4722.0,257.0,112,0.054426090639559506,112,8
Basic,Caravans-Wohnm,109000,7,844.0,65.0,96,0.07701421800947868,67,8
Basic,Renault,1650,4,1426.0,29.0,27,0.020336605890603085,27,18
Basic,Peugeot,1950,2,401.0,13.0,6,0.032418952618453865,5,17
Premium,Citroen,2695,6,397.0,31.0,10,0.07808564231738035,158,18
Premium,Mazda,17445,2,6956.0,267.0,34,0.036464922369177685,34,12
Basic,Mercedes-Benz,3250,4,17024.0,814.0,116,0.04781484962406015,204,20
Basic,Ford,1945,3,318.0,4.0,2,0.012578616352201259,2,20
Premium,Audi,20945,2,1981.0,93.0,7,0.046945986875315496,7,10
Basic,Land Rover,51950,4,2186.0,53.0,35,0.0242451967063129,35,6
Basic,Suzuki,9750,1,163.0,1.0,5,0.005828220858895706,153,12
Basic,Mazda,23400,5,4506.0,22.0,48,0.004882379050155349,78,12
Basic,Hyundai,1600,4,520.0,6.0,14,0.011538461538461539,43,23
Basic,Mazda,13950,4,9802.0,656.0,81,0.06357886145684553,52,10
Basic,SEAT,15900,7,116.0,10.0,2,0.08620689655172414,2,9
Basic,Ford,4449,2,29.0,3.0,1,0.10344827586206896,1,15
Basic,Volvo,12749,8,1150.0,45.0,48,0.03717391304347826,224,10
Basic,Audi,6950,7,8953.0,436.0,66,0.048698760192114374,66,20
Basic,Fiat,13235,5,934.0,10.0,47,0.010706638115631691,78,6
Premium,Opel,7900,7,14233.0,397.0,44,0.027892924892854633,219,14
Basic,Opel,5950,3,161.0,14.0,1,0.08695652173913043,31,15
Basic,Renault,9500,3,3201.0,60.0,92,0.01874414245548266,92,9
Basic,Volvo,76880,1,909.0,10.0,19,0.011001100110011002,19,7
Basic,Volkswagen,10945,5,586.0,36.0,27,0.06143344709897611,27,11
Basic,Land Rover,5995,1,2167.0,118.0,32,0.05445316105214582,32,17
Basic,Nissan,18650,5,90.0,2.0,0,0.021111111111111112,1,9
Premium,Porsche,34950,2,22998.0,906.0,89,0.039394729976519695,90,19
Basic,Ford,10945,5,8.0,1.0,0,0.125,0,11
Basic,Renault,15900,2,169.0,2.0,9,0.011834319526627219,9,10
Basic,Renault,34750,5,150.0,6.0,20,0.04,20,6
Basic,Peugeot,18900,3,1510.0,57.0,99,0.03774834437086093,40,7
Basic,Renault,19750,2,529.0,41.0,24,0.07362948960302458,112,9
Basic,Skoda,29500,7,796.0,65.0,28,0.08165829145728644,28,6
Basic,Volkswagen,4250,4,367.0,41.0,10,0.11171662125340599,10,20
Basic,Toyota,11995,2,378.0,23.0,50,0.06084656084656084,198,7
Basic,Volkswagen,33450,6,207.0,9.0,7,0.043478260869565216,7,7
Basic,Skoda,8200,7,29.0,3.0,2,0.10344827586206896,61,12
Basic,BMW,14895,5,362.0,53.0,6,0.1464088397790055,183,17
Basic,Hyundai,18895,1,2058.0,120.0,36,0.05830903790087463,36,9
Basic,Citroen,9950,7,73.0,6.0,2,0.0821917808219178,2,13
Basic,Land Rover,84900,3,1241.0,55.0,58,0.042103142626913774,146,8
Basic,Skoda,6425,7,387.0,6.0,6,0.015503875968992248,153,14
Basic,Toyota,3950,2,302.0,13.0,17,0.04304635761589404,193,17
Basic,Volkswagen,7900,3,1339.0,48.0,25,0.035847647498132934,25,10
Basic,Volkswagen,13495,3,2838.0,188.0,20,0.06624383368569416,20,11
Basic,SEAT,8400,3,1709.0,48.0,6,0.028086600351082503,6,15
Basic,Peugeot,6500,3,2838.0,147.0,65,0.05179704016913319,65,12
Basic,Ford,20945,3,445.0,6.0,43,0.01348314606741573,160,6
Basic,Peugeot,3750,9,155.0,1.0,1,0.0064516129032258064,1,15
Basic,Citroen,8450,2,1871.0,177.0,41,0.0898717263495457,218,15
Basic,Peugeot,21500,3,93.0,9.0,7,0.09193548387096774,214,7
Basic,Peugeot,12450,9,99.0,2.0,2,0.020202020202020204,61,6
Basic,Citroen,4749,6,2124.0,78.0,51,0.03672316384180791,51,12
Basic,Volvo,7450,8,540.0,29.0,15,0.053703703703703705,193,15
Basic,Volkswagen,9895,6,2670.0,131.0,90,0.04661048689138576,90,12
Basic,Chevrolet,65000,9,6141.0,99.0,100,0.01612115290669272,100,58
Basic,Mercedes-Benz,25450,4,958.0,30.0,83,0.031315240083507306,82,9
Basic,Peugeot,13400,7,1023.0,41.0,41,0.04007820136852395,159,11
Basic,Suzuki,22450,9,862.0,30.0,12,0.03480278422273782,130,6
Basic,Citroen,12745,3,1228.0,125.0,33,0.10179153094462541,62,7
Basic,Renault,15800,7,576.0,33.0,105,0.05442708333333333,193,7
Premium,Peugeot,12491,3,45427.0,1174.0,99,0.025843661258722787,570,8
Basic,Citroen,6995,1,3942.0,167.0,77,0.04024606798579401,18,10
Basic,Citroen,3250,7,3245.0,18.0,28,0.005546995377503852,28,18
Basic,Peugeot,5349,5,858.0,28.0,39,0.03263403263403263,39,13
Premium,Renault,13400,7,1573.0,25.0,5,0.01589319771137953,5,8
Basic,Audi,4950,4,454.0,27.0,1,0.05947136563876652,1,15
Basic,Skoda,11900,7,653.0,19.0,28,0.02909647779479326,28,10
Basic,Opel,3450,2,1389.0,58.0,8,0.037685385169186465,8,13
Basic,Fiat,4950,3,2012.0,76.0,82,0.03777335984095427,199,13
Basic,Ford,24450,5,153.0,8.0,2,0.05228758169934641,2,10
Basic,Peugeot,944,5,18169.0,550.0,82,0.03027134129561341,53,17
Basic,Peugeot,3990,9,1704.0,88.0,108,0.051643192488262914,108,16
Basic,Mercedes-Benz,36936,1,795.0,19.0,38,0.02389937106918239,38,6
Premium,Nissan,14950,3,1876.0,60.0,10,0.031982942430703626,158,13
Basic,Peugeot,10744,5,1758.0,60.0,114,0.034129692832764506,114,14
Basic,Dacia,9945,2,7365.0,198.0,69,0.026883910386965377,69,9
Basic,Mercedes-Benz,22950,3,344.0,41.0,7,0.11918604651162791,214,10
Basic,Toyota,11940,1,5432.0,287.0,53,0.05283505154639175,112,12
Basic,Toyota,12950,2,238.0,8.0,17,0.031932773109243695,77,10
Basic,Volkswagen,22900,3,356.0,16.0,9,0.0449438202247191,9,13
Basic,Fiat,4450,6,981.0,16.0,18,0.0163098878695209,48,13
Basic,Chevrolet,3495,5,12221.0,219.0,87,0.017919973815563376,235,12
Basic,MINI,28950,1,4896.0,129.0,100,0.026348039215686275,101,7
Basic,Volkswagen,12750,6,1353.0,47.0,31,0.03300073909830007,1,11
Basic,Renault,12550,4,334.0,7.0,81,0.020958083832335328,285,8
Basic,SEAT,6550,3,156.0,15.0,7,0.09615384615384616,7,14
Basic,Jeep,43895,4,655.0,18.0,35,0.02748091603053435,35,6
Basic,Hyundai,4750,3,1799.0,28.0,120,0.014785992217898832,120,14
Basic,Volkswagen,15950,1,58.0,2.0,2,0.034482758620689655,2,10
Basic,Skoda,29900,4,643.0,37.0,22,0.05754276827371695,22,7
Basic,Volkswagen,15650,3,745.0,24.0,66,0.032214765100671144,124,14
Basic,BMW,54950,3,560.0,13.0,7,0.023214285714285715,214,11
Basic,Peugeot,5945,8,6950.0,187.0,46,0.026906474820143887,17,11
Basic,Suzuki,6950,1,1454.0,42.0,21,0.02888583218707015,21,12
Basic,Kia,1999,3,2190.0,68.0,27,0.031050228310502283,28,19
Basic,SEAT,5950,4,1098.0,80.0,60,0.07285974499089254,325,12
Basic,Volvo,6999,3,709.0,34.0,12,0.047954866008462625,12,18
Premium,Mercedes-Benz,39500,6,6771.0,289.0,63,0.04268202628858367,63,7
Basic,Peugeot,38995,2,899.0,38.0,35,0.042269187986651836,34,7
Basic,Citroen,8895,5,324.0,5.0,18,0.015432098765432098,18,10
Basic,Peugeot,2950,3,571.0,33.0,57,0.05779334500875657,57,19
Basic,Hyundai,590,3,1198.0,31.0,7,0.02587646076794658,7,25
Basic,Volkswagen,14950,1,178.0,4.0,5,0.02247191011235955,5,7
Basic,Volkswagen,12500,6,465.0,3.0,38,0.0061290322580645155,38,11
Basic,Volkswagen,2450,8,693.0,22.0,21,0.030158730158730156,21,21
Basic,Citroen,8750,6,187.0,43.0,6,0.22994652406417113,6,14
Basic,MINI,18900,3,2433.0,151.0,44,0.062063296341964655,44,8
Basic,Citroen,7900,6,827.0,54.0,14,0.06529625151148731,14,14
Basic,Peugeot,4999,3,607.0,9.0,23,0.014827018121911038,23,12
Basic,Hyundai,14999,3,4756.0,165.0,104,0.034693019343986546,311,14
Basic,Others ,5250,6,62.0,0.0,1,0.0,0,11
Basic,Opel,19900,5,278.0,10.0,27,0.03417266187050359,145,7
Basic,Mazda,28940,2,6091.0,758.0,76,0.11822360860285666,76,7
Basic,Volkswagen,10440,6,276.0,2.0,70,0.006884057971014493,218,8
Basic,Opel,24940,5,1099.0,40.0,35,0.036396724294813464,35,7
Premium,BMW,39900,2,4640.0,96.0,14,0.020689655172413793,14,6
Basic,Renault,14950,5,194.0,7.0,9,0.03608247422680412,9,10
Basic,Volkswagen,15900,5,217.0,6.0,6,0.027649769585253458,6,8
Basic,Kia,17400,3,477.0,16.0,13,0.033542976939203356,13,8
Basic,BMW,16500,4,393.0,20.0,12,0.05089058524173028,102,11
Basic,Renault,14900,4,42.0,2.0,4,0.047619047619047616,4,6
Basic,Nissan,1090,3,2079.0,34.0,18,0.016354016354016353,136,21
Basic,Mercedes-Benz,9999,8,770.0,34.0,4,0.04415584415584416,4,18
Basic,Opel,21440,2,620.0,29.0,56,0.0467741935483871,56,8
Basic,Lexus,11745,5,2971.0,158.0,18,0.05318074722315719,165,13
Basic,Audi,14950,7,2962.0,107.0,97,0.03612424037812289,97,13
Basic,Opel,18940,5,106.0,1.0,8,0.008962264150943396,97,7
Basic,Others ,18740,6,419.0,14.0,108,0.03341288782816229,108,6
Basic,Ford,15440,7,881.0,28.0,30,0.030192962542565264,30,8
Basic,Peugeot,1948,7,2342.0,27.0,20,0.01152860802732707,20,20
Basic,BMW,9949,7,1091.0,57.0,25,0.05224564619615032,25,13
Premium,Toyota,12800,3,2398.0,83.0,11,0.03461217681401168,41,16
Basic,Volvo,16895,3,2309.0,80.0,84,0.0346470333477696,407,11
Basic,Mercedes-Benz,56845,3,43.0,3.0,1,0.06627906976744186,1,6
Basic,Volkswagen,10450,1,2255.0,30.0,26,0.013303769401330377,26,7
Basic,Volvo,10945,7,10262.0,914.0,24,0.08906645877996491,24,10
Basic,Volkswagen,20900,2,1486.0,38.0,29,0.02557200538358008,29,9
Basic,Audi,12900,2,5983.0,126.0,33,0.021059669062343307,33,10
Basic,BMW,16650,4,2396.0,166.0,51,0.06928213689482471,51,11
Basic,Mitsubishi,7945,7,1576.0,77.0,48,0.04885786802030457,48,11
Basic,Volvo,500,1,3505.0,100.0,43,0.028530670470756064,13,23
Basic,Mercedes-Benz,6250,5,11131.0,398.0,99,0.035755996765789236,99,36
Basic,Ford,3985,7,613.0,20.0,5,0.03262642740619902,5,16
Basic,Ford,1350,4,2806.0,83.0,46,0.028100498930862437,46,19
Basic,Citroen,4950,9,977.0,57.0,4,0.05834186284544524,4,10
Basic,Peugeot,8950,2,622.0,25.0,26,0.04019292604501608,115,11
Basic,Renault,7950,7,3610.0,97.0,91,0.026869806094182824,91,14
Basic,Toyota,13990,2,183.0,17.0,5,0.08825136612021858,5,11
Basic,Volkswagen,1499,1,9678.0,784.0,58,0.08100847282496383,58,20
Basic,Opel,9350,7,1277.0,41.0,49,0.03210649960845732,138,11
Basic,Peugeot,12950,9,472.0,9.0,36,0.019067796610169493,125,11
Basic,Chevrolet,12500,3,7384.0,454.0,83,0.061484290357529794,83,43
Basic,Opel,9750,7,209.0,10.0,9,0.04784688995215311,186,10
Basic,Opel,12450,6,300.0,40.0,7,0.13333333333333333,7,8
Basic,Chevrolet,6950,7,11210.0,784.0,37,0.0664406779661017,124,35
Basic,Citroen,4350,1,704.0,9.0,83,0.01278409090909091,172,18
Basic,Ford,17850,7,570.0,11.0,109,0.01929824561403509,50,6
Basic,Suzuki,12750,6,384.0,25.0,15,0.06510416666666667,15,13
Basic,Toyota,5500,7,1492.0,48.0,93,0.030563002680965148,93,19
Basic,Kia,5920,6,371.0,5.0,6,0.012803234501347708,6,12
Basic,Ford,10945,2,666.0,25.0,64,0.03753753753753754,65,9
Basic,Ford,5950,3,1607.0,111.0,11,0.06907280647168637,11,10
Basic,Volkswagen,1950,1,401.0,41.0,3,0.10224438902743142,3,19
Premium,BMW,9999,6,7574.0,273.0,31,0.036044362292051754,30,16
Basic,Volkswagen,1499,1,184.0,2.0,3,0.010869565217391304,3,25
Basic,Renault,6450,7,42.0,0.0,2,0.0,2,10
Basic,Dacia,16495,1,1957.0,35.0,69,0.01788451711803781,69,8
Basic,Renault,6950,6,236.0,4.0,19,0.01694915254237288,196,11
Basic,Skoda,40499,1,55.0,1.0,0,0.01818181818181818,0,6
Basic,Opel,25485,4,6858.0,128.0,114,0.018664333624963548,378,7
Basic,Ford,4450,7,61.0,2.0,5,0.03278688524590164,5,18
Basic,Peugeot,11680,1,1854.0,63.0,103,0.03228155339805825,192,14
Basic,Peugeot,7950,3,351.0,13.0,7,0.037037037037037035,214,11
Basic,Volvo,36900,8,5112.0,142.0,107,0.026388888888888885,196,8
Basic,Mercedes-Benz,17950,7,542.0,10.0,101,0.01845018450184502,101,10
