,Foreign/Local Used,color,wheel drive,Automation,seat-make,price,description,make-year,manufacturer
73,Foreign Used,Blue,4,Automatic,Leather,2800000,2007   Lexus ES,2007,Lexus
74,Foreign Used,Gold,4,Automatic,Leather,3000000,2008   Lexus ES,2008,Lexus
75,Foreign Used,Black,4,Automatic,Leather,1800000,2006   Acura MDX ,2006,Acura
76,Foreign Used,Black,4,Automatic,Leather,3500000,2009   Acura MDX,2009,Acura
77,Foreign Used,Silver,4,Automatic,Leather,3100000,2008   Acura MDX,2008,Acura
78,Locally Used,Black,4,Automatic,Leather,4800000,2016   Mercedes-Benz E350,2016,Mercedes-Benz
79,Foreign Used,Dark Grey,4,Automatic,Leather,4700000,2014    Toyota Corolla,2014,Toyota
80,Foreign Used,White,4,Automatic,Leather,15500000,2019   Toyota Hilux,2019,Toyota
81,Foreign Used,Black,4,Automatic,Leather,2500000,2005   Lexus ES,2005,Lexus
82,Foreign Used,White,4,Automatic,Leather,22000000,2019   Toyota Hilux,2019,Toyota
83,Foreign Used,Dark Blue,4,Automatic,Leather,14000000,2018    Toyota Camry,2018,Toyota
84,Foreign Used,Red,4,Automatic,Leather,3100000,2010   Toyota Corolla,2010,Toyota
85,Locally Used,Dark Grey,4,Manual,Cloth,750000,1998    Toyota Camry,1998,Toyota
86,Locally Used,Black,4,Automatic,Leather,3600000,2015   Toyota Corolla,2015,Toyota
87,Foreign Used,Green,4,Automatic,Leather,2300000,2009   Honda Accord,2009,Honda
88,Foreign Used,Blue,4,Automatic,Leather,3700000,2011   Toyota Camry,2011,Toyota
89,Locally Used,Dark Blue,4,Manual,Leather,2500000,2008    Mercedes-Benz C300,2008,Mercedes-Benz
90,Foreign Used,White,4,Automatic,Leather,5500000,2009   Toyota Highlander,2009,Toyota
91,Foreign Used,White,4,Automatic,Leather,5500000,2009   Toyota Highlander,2009,Toyota
92,Foreign Used,Black,4,Automatic,Leather,6000000,2012   Ford Edge,2012,Ford
94,Locally Used,Grey,4,Automatic,Leather,2700000,2008     Range  Sport,2008,Range
95,Locally Used,Black,4,Automatic,Leather,3500000,2010   Mercedes-Benz GL Class,2010,Mercedes-Benz
96,Foreign Used,Black,4,Automatic,Leather,2500000,2005   Acura MDX ,2005,Acura
98,Foreign Used,Black,4,Automatic,Leather,2700000,2009   Toyota Venza,2008,Toyota
99,Foreign Used,Black,4,Automatic,Leather,1500000,2005   Toyota 4-Runner,2008,Toyota
100,Foreign Used,Blue,4,Automatic,Leather,3350000,2010   Toyota Camry,2008,Toyota
101,Foreign Used,Silver,4,Automatic,Leather,14000000,2016   Ford Explorer,2016,Ford
102,Foreign Used,Grey,4,Automatic,Leather,12500000,2017   Honda CR-V,2008,Honda
103,Foreign Used,White,4,Automatic,Leather,24000000,2013     Range  Vogue,2013,Range
104,Foreign Used,White,4,Automatic,Leather,7000000,2012   Ford Explorer,2012,Ford
105,Foreign Used,Grey,4,Automatic,Leather,2650000,2007   Toyota Camry ,2007,Toyota
106,Foreign Used,Silver,4,Automatic,Leather,5000000,2011   Ford Edge,2011,Ford
107,Foreign Used,Dark Green,4,Automatic,Cloth,3800000,2013    Toyota Camry ,2013,Toyota
108,Foreign Used,Silver,4,Automatic,Leather,5000000,2011   Toyota Venza,2011,Toyota
109,Foreign Used,Black,4,Automatic,Leather,5000000,2011   Mercedes-Benz GLK,2011,Mercedes-Benz
110,Foreign Used,Black,4,Automatic,Leather,8500000,2014   Mercedes-Benz E350,2014,Mercedes-Benz
111,Foreign Used,Blue,4,Manual,Leather,1500000,2005   Toyota Corolla ,2005,Toyota
112,Locally Used,Black,4,Automatic,Cloth,1650000,2004   Toyota Corolla,2004,Toyota
113,Foreign Used,Red,4,Automatic,Cloth,2750000,2010   Toyota Corolla ,2010,Toyota
114,Foreign Used,Dark Blue,4,Automatic,Cloth,2000000,2006    Pontiac Vibe ,2006,Pontiac
115,Foreign Used,White,4,Automatic,Leather,46000000,2016   Lexus LX,2016,Lexus
116,Foreign Used,White,4,Automatic,Leather,15000000,2010   Toyota  Cruiser,2010,Toyota
117,Foreign Used,Black,4,Automatic,Cloth,3900000,2014   Toyota Camry,2014,Toyota
118,Foreign Used,Dark Grey,4,Manual,Cloth,2500000,2004    Toyota Avensis,2004,Toyota
119,Locally Used,Black,4,Automatic,Leather,14500000,2014   Toyota  Cruiser Prado,2014,Toyota
120,Foreign Used,Black,4,Automatic,Leather,36500000,2019   Toyota  Cruiser Prado,2019,Toyota
121,Foreign Used,Silver,4,Automatic,Leather,3050000,2005   Toyota Highlander,2005,Toyota
122,Foreign Used,Grey,4,Automatic,Leather,19000000,2016   Lexus GX,2016,Lexus
123,Foreign Used,Black,4,Automatic,Leather,13000000,2014   Mercedes-Benz E350,2014,Mercedes-Benz
124,Foreign Used,Silver,4,Automatic,Leather,35000000,2018   Infiniti QX80,2018,Infiniti
125,Foreign Used,Black,4,Automatic,Leather,22000000,2020   Lexus RX,2020,Lexus
126,Foreign Used,Silver,4,Automatic,Leather,7600000,2013   Toyota Highlander,2013,Toyota
127,Foreign Used,Black,4,Automatic,Leather,14000000,2016   Toyota Highlander,2016,Toyota
128,Foreign Used,Grey,4,Automatic,Cloth,4600000,2014   Toyota Corolla,2014,Toyota
129,Foreign Used,Black,4,Automatic,Leather,3350000,2010   Toyota Camry,2010,Toyota
130,Foreign Used,Black,4,Automatic,Leather,16500000,2017   Ford Explorer,2017,Ford
131,Foreign Used,Black,4,Automatic,Leather,12500000,2018   Honda Accord,2018,Honda
132,Foreign Used,Green,4,Automatic,Leather,6950000,2013   Toyota Venza,2013,Toyota
133,Foreign Used,Gold,4,Automatic,Leather,3300000,2006   Toyota Highlander,2006,Toyota
134,Foreign Used,Black,4,Automatic,Leather,30500000,2019   Toyota Highlander,2019,Toyota
135,Foreign Used,Grey,4,Automatic,Leather,8200000,2017   Toyota Corolla,2017,Toyota
136,Foreign Used,Black,4,Automatic,Leather,3850000,2010   Lexus ES,2010,Lexus
137,Locally Used,Black,4,Automatic,Leather,7500000,2013   Toyota Avalon ,2013,Toyota
138,Foreign Used,Blue,4,Automatic,Leather,2500000,2009   Toyota Matrix ,2009,Toyota
139,Foreign Used,Blue,4,Automatic,Leather,4700000,2011   Ford Edge,2011,Ford
140,Foreign Used,Silver,4,Automatic,Leather,2950000,2008   Lexus ES,2008,Lexus
141,Foreign Used,Black,4,Automatic,Leather,12500000,2017   Mercedes-Benz GLE 350,2017,Mercedes-Benz
142,Foreign Used,Red,4,Automatic,Leather,3700000,2012   Toyota Camry,2012,Toyota
143,Foreign Used,Black,4,Automatic,Leather,6500000,2011   Lexus RX,2011,Lexus
144,Foreign Used,Black,4,Automatic,Leather,4300000,2010   Lexus ES,2010,Lexus
145,Foreign Used,Maroon,4,Automatic,Cloth,4500000,2013   Honda Accord,2013,Honda
146,Foreign Used,Silver,4,Automatic,Leather,1900000,2002   Lexus ES,2002,Lexus
147,Foreign Used,Silver,4,Automatic,Leather,1750000,2003   Lexus ES,2003,Lexus
148,Foreign Used,Grey,4,Automatic,Cloth,1790000,2004   Toyota Corolla,2004,Toyota
149,Foreign Used,Silver,4,Automatic,Cloth,3000000,2011   Toyota Corolla,2011,Toyota
150,Locally Used,Black,4,Automatic,Cloth,1280000,2004   Toyota RAV4,2004,Toyota
151,Foreign Used,Dark Grey,4,Automatic,Cloth,2800000,2010    Toyota Corolla,2010,Toyota
152,Foreign Used,Silver,4,Automatic,Cloth,2150000,2007   Toyota Corolla,2007,Toyota
153,Foreign Used,Black,4,Automatic,Leather,2600000,2007   Mercedes-Benz C230,2007,Mercedes-Benz
154,Foreign Used,Black,4,Automatic,Leather,2350000,2006   Lexus ES,2006,Lexus
155,Foreign Used,Grey,4,Automatic,Leather,14000000,2015   Toyota Sequoia,2015,Toyota
156,Foreign Used,Black,4,Automatic,Leather,8000000,2013   Mercedes-Benz C350,2013,Mercedes-Benz
157,Foreign Used,Black,4,Automatic,Leather,6000000,2010   Mercedes-Benz GLK,2010,Mercedes-Benz
158,Foreign Used,Black,4,Automatic,Leather,8700000,2011   Mercedes-Benz GL Class,2011,Mercedes-Benz
159,Foreign Used,Black,4,Automatic,Leather,6900000,2010   Lexus RX,2010,Lexus
160,Foreign Used,Silver,4,Automatic,Leather,3200000,2005   Toyota 4-Runner,2008,Toyota
161,Foreign Used,Black,4,Automatic,Leather,7000000,2012   Mercedes-Benz C300,2012,Mercedes-Benz
162,Foreign Used,Grey,4,Automatic,Leather,8100000,2009   Toyota Sequoia,2009,Toyota
163,Foreign Used,Black,4,Automatic,Leather,3700000,2005   Lexus RX,2005,Lexus
164,Foreign Used,Silver,4,Automatic,Leather,6200000,2009   Toyota Venza ,2009,Toyota
165,Foreign Used,Black,4,Automatic,Leather,9800000,2013   Lexus RX,2013,Lexus
166,Foreign Used,Black,4,Automatic,Leather,7300000,2012   Ford Explorer,2012,Ford
167,Foreign Used,Gold,4,Automatic,Leather,3600000,2008   Toyota 4-Runner,2008,Toyota
168,Foreign Used,Blue,4,Automatic,Leather,15500000,2013   Mercedes-Benz GL 450,2013,Mercedes-Benz
169,Foreign Used,Silver,4,Automatic,Leather,6500000,2011   Lexus RX,2011,Lexus
170,Foreign Used,Black,4,Automatic,Leather,2850000,2008   Lexus ES,2008,Lexus
171,Foreign Used,Grey,4,Automatic,Leather,6700000,2015   Toyota RAV4,2015,Toyota
172,Foreign Used,Black,4,Automatic,Leather,3100000,2008   Toyota RAV4,2008,Toyota
173,Foreign Used,Black,4,Automatic,Leather,2750000,2007   Lexus ES,2007,Lexus
174,Foreign Used,Black,4,Automatic,Leather,4300000,2004   Lexus GX,2004,Lexus
176,Foreign Used,Black,4,Automatic,Leather,6200000,2011   Mercedes-Benz GLK,2011,Mercedes-Benz
177,Foreign Used,Grey,4,Automatic,Leather,3700000,2008   Toyota 4-Runner,2008,Toyota
178,Foreign Used,Black,4,Automatic,Cloth,2800000,2005   Toyota Highlander,2005,Toyota
179,Foreign Used,Red,4,Automatic,Leather,4100000,2010   Toyota RAV4 ,2010,Toyota
180,Foreign Used,Red,4,Automatic,Leather,4100000,2010   Toyota RAV4,2010,Toyota
181,Foreign Used,Grey,4,Automatic,Leather,2000000,2006   Acura MDX,2006,Acura
182,Foreign Used,Black,4,Automatic,Leather,4300000,2010   Mercedes-Benz C300,2010,Mercedes-Benz
183,Foreign Used,Black,4,Automatic,Leather,4250000,2009   Mercedes-Benz ML350,2009,Mercedes-Benz
184,Foreign Used,Black,4,Automatic,Leather,6200000,2010   Toyota Venza,2010,Toyota
185,Foreign Used,Black,4,Automatic,Leather,2200000,2003   Lexus RX,2003,Lexus
186,Foreign Used,Silver,4,Automatic,Leather,5500000,2008   Toyota Highlander,2008,Toyota
187,Foreign Used,Black,4,Automatic,Leather,3300000,2011   Honda Accord,2011,Honda
188,Foreign Used,Black,4,Automatic,Leather,2600000,2007   Ford Edge,2007,Ford
189,Foreign Used,Black,4,Automatic,Leather,2150000,2007   Toyota Corolla,2007,Toyota
190,Foreign Used,Black,4,Automatic,Leather,2800000,2008   Toyota Camry,2008,Toyota
191,Foreign Used,Silver,4,Automatic,Leather,6900000,2015   Toyota RAV4,2015,Toyota
192,Foreign Used,Grey,4,Automatic,Cloth,1900000,2006   Toyota Camry,2006,Toyota
193,Foreign Used,Grey,4,Automatic,Cloth,1900000,2006   Toyota Camry,2006,Toyota
194,Foreign Used,Gold,4,Automatic,Leather,3800000,2008   Toyota 4-Runner,2008,Toyota
195,Foreign Used,Silver,4,Automatic,Leather,5500000,2008   Toyota Highlander,2008,Toyota
196,Foreign Used,Black,4,Automatic,Leather,6500000,2007   Lexus GX,2007,Lexus
197,Foreign Used,Grey,4,Automatic,Leather,10500000,2011   Lexus GX,2011,Lexus
198,Foreign Used,Black,4,Automatic,Leather,2850000,2008   Lexus ES,2008,Lexus
199,Foreign Used,Grey,4,Automatic,Leather,6700000,2015   Toyota RAV4,2015,Toyota
200,Foreign Used,Black,4,Automatic,Leather,3100000,2008   Toyota RAV4,2008,Toyota
201,Foreign Used,Black,4,Automatic,Leather,2750000,2007   Lexus ES,2007,Lexus
202,Foreign Used,Black,4,Automatic,Leather,4300000,2004   Lexus GX,2004,Lexus
204,Foreign Used,Black,4,Automatic,Leather,6200000,2011   Mercedes-Benz GLK,2011,Mercedes-Benz
205,Foreign Used,Grey,4,Automatic,Leather,3700000,2008   Toyota 4-Runner,2008,Toyota
206,Foreign Used,Black,4,Automatic,Cloth,2800000,2005   Toyota Highlander,2005,Toyota
207,Foreign Used,White,4,Automatic,Leather,5500000,2012   Toyota Highlander,2012,Toyota
208,Foreign Used,Grey,4,Automatic,Leather,4300000,2014   Honda Accord,2014,Honda
209,Foreign Used,Gold,4,Automatic,Cloth,15500000,2014     Range  Sport,2014,Range
210,Foreign Used,Black,4,Automatic,Leather,11500000,2010   Toyota  Cruiser,2010,Toyota
211,Locally Used,Dark Grey,4,Automatic,Leather,3650000,2010    Toyota Venza ,2010,Toyota
212,Foreign Used,Red,4,Automatic,Leather,5500000,2013   Mercedes-Benz C300,2013,Mercedes-Benz
213,Foreign Used,Silver,4,Automatic,Leather,2800000,2008   Lexus IS,2008,Lexus
214,Foreign Used,White,4,Automatic,Leather,9800000,2013   Mercedes-Benz ML350,2013,Mercedes-Benz
215,Foreign Used,Red,4,Automatic,Leather,3950000,2013   Toyota Camry,2013,Toyota
216,Foreign Used,Black,4,Automatic,Leather,6600000,2017   Honda Accord,2017,Honda
217,Locally Used,Silver,4,Automatic,Leather,7500000,2016   Mercedes-Benz C300,2016,Mercedes-Benz
218,Foreign Used,Black,4,Automatic,Leather,11500000,2011   Lexus GX,2011,Lexus
219,Foreign Used,Black,4,Automatic,Leather,3150000,2005   Lexus RX,2005,Lexus
220,Locally Used,Grey,4,Automatic,Leather,7200000,2014   Mercedes-Benz ML 550,2014,Mercedes-Benz
221,Foreign Used,Black,4,Automatic,Leather,14500000,2013   Toyota  Cruiser,2013,Toyota
222,Foreign Used,White,4,Automatic,Leather,15800000,2019   Toyota Hilux,2019,Toyota
223,Foreign Used,Red,4,Automatic,Leather,20000000,2017   Mercedes-Benz GLE 450,2017,Mercedes-Benz
224,Foreign Used,Black,4,Automatic,Leather,5200000,2011   Mercedes-Benz E550,2011,Mercedes-Benz
225,Foreign Used,Black,4,Automatic,Leather,25000000,2014     Range  Vogue,2014,Range
226,Foreign Used,Red,4,Automatic,Leather,6000000,2014   Mercedes-Benz CLA-Class,2014,Mercedes-Benz
227,Foreign Used,Maroon,4,Automatic,Leather,4900000,2008   Mercedes-Benz ML350,2008,Mercedes-Benz
228,Foreign Used,Black,4,Automatic,Leather,44000000,2012   Lamborghini Gallardo,2012,Lamborghini
229,Foreign Used,Blue,4,Automatic,Cloth,2900000,2008   Toyota RAV4,2008,Toyota
230,Foreign Used,Black,4,Automatic,Leather,3900000,2006   Lexus RX,2006,Lexus
231,Foreign Used,Silver,4,Automatic,Leather,5500000,2008   Toyota Highlander,2008,Toyota
232,Foreign Used,Black,4,Automatic,Leather,4100000,2006   Mercedes-Benz ML350,2006,Mercedes-Benz
233,Foreign Used,Grey,4,Automatic,Leather,18000000,2018   Lexus RX,2018,Lexus
234,Foreign Used,Silver,4,Automatic,Leather,3500000,2006   Lexus RX,2006,Lexus
235,Foreign Used,White,4,Automatic,Leather,8200000,2014   Toyota Highlander,2014,Toyota
236,Foreign Used,Black,4,Automatic,Leather,5000000,2013   Toyota Avalon,2013,Toyota
237,Foreign Used,White,4,Automatic,Leather,4700000,2010   Toyota Venza,2010,Toyota
238,Foreign Used,Gold,4,Automatic,Leather,2250000,2009   Toyota Camry,2009,Toyota
239,Foreign Used,Grey,4,Automatic,Cloth,2700000,2010   Toyota Corolla,2008,Toyota
240,Foreign Used,Silver,4,Automatic,Leather,3600000,2006   Toyota 4-Runner,2006,Toyota
241,Foreign Used,White,4,Automatic,Leather,4200000,2008   Lexus ES,2008,Lexus
242,Foreign Used,Silver,4,Automatic,Leather,15500000,2015     Range  Sport,2015,Range
243,Locally Used,Silver,4,Automatic,Leather,2900000,2013   Toyota Camry,2013,Toyota
244,Foreign Used,White,4,Automatic,Leather,8300000,2013   Mercedes-Benz ML350,2013,Mercedes-Benz
245,Foreign Used,Black,4,Automatic,Leather,6750000,2013   Toyota RAV4,2013,Toyota
246,Foreign Used,Black,4,Automatic,Leather,5950000,2015   Toyota Camry ,2015,Toyota
247,Foreign Used,Blue,4,Manual,Cloth,1600000,2000   Peugeot 406,2000,Peugeot
248,Foreign Used,Black,4,Automatic,Cloth,2400000,2008   Toyota Corolla,2008,Toyota
249,Locally Used,Blue,4,Manual,Cloth,700000,2001   Toyota Avensis,2001,Toyota
250,Foreign Used,Black,4,Automatic,Leather,3800000,2010   Honda Accord CrossTour,2010,Honda
251,Foreign Used,White,4,Automatic,Leather,3500000,2008   Mercedes-Benz C300,2008,Mercedes-Benz
252,Locally Used,Silver,4,Automatic,Cloth,850000,2005   Honda Accord,2005,Honda
253,Foreign Used,Red,4,Automatic,Cloth,2300000,2007   Toyota Camry,2007,Toyota
254,Foreign Used,Black,4,Automatic,Leather,2150000,2005   Lexus ES,2005,Lexus
255,Foreign Used,Grey,4,Automatic,Leather,3100000,2008   Lexus GS,2008,Lexus
256,Foreign Used,Blue,4,Automatic,Leather,2500000,2005   Toyota Highlander,2005,Toyota
257,Foreign Used,Black,4,Manual,Cloth,2300000,2000   Nissan Cabstar ,2000,Nissan
258,Foreign Used,Black,4,Automatic,Leather,2650000,2006   Mercedes-Benz C280,2006,Mercedes-Benz
259,Foreign Used,Black,4,Automatic,Leather,2300000,2003   Acura MDX,2003,Acura
260,Foreign Used,Black,4,Automatic,Leather,4400000,2006   Mercedes-Benz CLK,2006,Mercedes-Benz
261,Foreign Used,Blue,4,Automatic,Cloth,5400000,2006   Toyota Tacoma,2006,Toyota
262,Foreign Used,Blue,4,Automatic,Leather,2850000,2008   Lexus ES,2008,Lexus
263,Foreign Used,Grey,4,Automatic,Leather,15800000,2020   Kia Sorento,2020,Kia
264,Foreign Used,Red,4,Automatic,Leather,4200000,2012   Toyota Camry,2012,Toyota
265,Locally Used,Silver,4,Automatic,Cloth,2300000,2009   Toyota RAV4,2009,Toyota
266,Foreign Used,Black,4,Automatic,Leather,4800000,2014   Toyota Corolla,2014,Toyota
267,Foreign Used,Grey,4,Automatic,Cloth,5800000,2016   Toyota Camry,2016,Toyota
268,Locally Used,Black,4,Automatic,Leather,3800000,2014   Kia Sportage,2014,Kia
269,Locally Used,Blue,4,Automatic,Cloth,1450000,2004   Toyota Highlander,2004,Toyota
270,Foreign Used,Black,4,Automatic,Leather,5200000,2011   Lexus RX,2011,Lexus
271,Locally Used,Black,4,Automatic,Leather,2500000,2010   Infiniti EX,2010,Infiniti
272,Locally Used,Silver,4,Automatic,Cloth,1600000,2008   Toyota Camry,2008,Toyota
273,Locally Used,Black,4,Automatic,Leather,2600000,2012   Hyundai ix35,2012,Hyundai
274,Locally Used,Silver,4,Automatic,Leather,2000000,2004   Toyota  Cruiser,2004,Toyota
275,Locally Used,Silver,4,Automatic,Cloth,1350000,2004   Toyota Highlander,2004,Toyota
276,Locally Used,Silver,4,Automatic,Cloth,2350000,2010   Toyota RAV4,2010,Toyota
277,Locally Used,Black,4,Automatic,Leather,1550000,2008   Honda CR-V,2008,Honda
278,Locally Used,Black,4,Automatic,Leather,8500000,2009   Lexus LX,2009,Lexus
279,Locally Used,Grey,4,Automatic,Cloth,1450000,2007   Honda CR-V,2007,Honda
280,Locally Used,Maroon,4,Automatic,Leather,3700000,2010   Acura ZDX,2010,Acura
281,Foreign Used,White,4,Automatic,Leather,2700000,2006   Toyota Highlander,2006,Toyota
282,Locally Used,Grey,4,Automatic,Cloth,1850000,2006   Toyota Highlander,2006,Toyota
283,Foreign Used,Black,4,Automatic,Cloth,6700000,2013   Toyota Highlander,2013,Toyota
284,Foreign Used,Blue,4,Automatic,Cloth,1850000,2007   Toyota Matrix,2007,Toyota
285,Foreign Used,Black,4,Automatic,Leather,5000000,2008   Toyota Highlander,2008,Toyota
286,Foreign Used,Grey,4,Automatic,Leather,4300000,2011   Honda Pilot,2011,Honda
287,Foreign Used,Grey,4,Automatic,Leather,4300000,2011   Honda Pilot,2011,Honda
288,Locally Used,Black,4,Automatic,Leather,3200000,2011   Toyota Venza ,2011,Toyota
289,Foreign Used,Grey,4,Automatic,Leather,17000000,2016   Lexus GX,2016,Lexus
290,Foreign Used,Grey,4,Automatic,Leather,3750000,2014   Toyota Camry,2014,Toyota
291,Locally Used,Black,4,Automatic,Leather,1600000,2006   Lexus ES,2006,Lexus
292,Foreign Used,Red,4,Automatic,Leather,3700000,2009   Toyota RAV4,2009,Toyota
293,Locally Used,Silver,4,Automatic,Cloth,1350000,2007   Toyota Yaris,2007,Toyota
294,Foreign Used,Silver,4,Automatic,Leather,1400000,2004   Honda Civic,2004,Honda
